id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
332,BE_Solar,2050,3,3,4,-1.3642420526593924e-12
333,BE_Solar,2050,3,5,6,0.0
334,BE_Solar,2050,3,7,8,-3105.532427780372
335,BE_Solar,2050,3,9,10,-3.1942383340548895e-13
336,BE_Solar,2050,3,11,12,-0.0
337,BE_Solar,2050,3,13,14,-0.0
338,BE_Solar,2050,3,15,16,-0.0
339,BE_Solar,2050,3,17,18,-0.0
340,BE_Solar,2050,3,19,20,-3105.5324277803734
341,BE_Solar,2050,3,21,22,-3105.5324277803734
342,BE_Solar,2050,3,23,24,-3105.532427780372
343,BE_Wind_Offshore,2050,1,1,2,-2252.7066499647235
344,BE_Wind_Offshore,2050,1,3,4,-2252.7066499647235
345,BE_Wind_Offshore,2050,1,5,6,-2252.7066499647235
346,BE_Wind_Offshore,2050,1,7,8,-2252.706649964724
347,BE_Wind_Offshore,2050,1,9,10,-0.0
348,BE_Wind_Offshore,2050,1,11,12,-0.0
349,BE_Wind_Offshore,2050,1,13,14,0.0
350,BE_Wind_Offshore,2050,1,15,16,-0.0
351,BE_Wind_Offshore,2050,1,17,18,-0.0
352,BE_Wind_Offshore,2050,1,19,20,-2252.706649964724
353,BE_Wind_Offshore,2050,1,21,22,-6366.344880335091
354,BE_Wind_Offshore,2050,1,23,24,-2252.706649964724
355,BE_Wind_Offshore,2050,2,1,2,-8582.150432459508
356,BE_Wind_Offshore,2050,2,3,4,-8582.150432459508
357,BE_Wind_Offshore,2050,2,5,6,-8582.150432459508
358,BE_Wind_Offshore,2050,2,7,8,-8582.150432459508
359,BE_Wind_Offshore,2050,2,9,10,-8582.150432459508
360,BE_Wind_Offshore,2050,2,11,12,-7827.135748163883
361,BE_Wind_Offshore,2050,2,13,14,-7827.135748163883
362,BE_Wind_Offshore,2050,2,15,16,-7827.135748163883
363,BE_Wind_Offshore,2050,2,17,18,-8582.150432459508
364,BE_Wind_Offshore,2050,2,19,20,-8582.150432459508
365,BE_Wind_Offshore,2050,2,21,22,-8582.150432459508
366,BE_Wind_Offshore,2050,2,23,24,-8582.150432459508
367,BE_Wind_Offshore,2050,3,1,2,-8.952838470577262e-13
368,BE_Wind_Offshore,2050,3,3,4,-1.3642420526593924e-12
369,BE_Wind_Offshore,2050,3,5,6,-0.0
370,BE_Wind_Offshore,2050,3,7,8,-3105.532427780372
371,BE_Wind_Offshore,2050,3,9,10,-3.1942383340548895e-13
372,BE_Wind_Offshore,2050,3,11,12,-0.0
373,BE_Wind_Offshore,2050,3,13,14,-0.0
374,BE_Wind_Offshore,2050,3,15,16,-0.0
375,BE_Wind_Offshore,2050,3,17,18,-0.0
376,BE_Wind_Offshore,2050,3,19,20,-3105.5324277803734
377,BE_Wind_Offshore,2050,3,21,22,-3105.5324277803734
378,BE_Wind_Offshore,2050,3,23,24,-3105.532427780372
379,BE_Wind_Onshore,2050,1,1,2,-2252.7066499647235
380,BE_Wind_Onshore,2050,1,3,4,-2252.7066499647235
381,BE_Wind_Onshore,2050,1,5,6,-2252.7066499647235
382,BE_Wind_Onshore,2050,1,7,8,-2252.706649964724
383,BE_Wind_Onshore,2050,1,9,10,-0.0
384,BE_Wind_Onshore,2050,1,11,12,-0.0
385,BE_Wind_Onshore,2050,1,13,14,-0.0
386,BE_Wind_Onshore,2050,1,15,16,-0.0
387,BE_Wind_Onshore,2050,1,17,18,-0.0
388,BE_Wind_Onshore,2050,1,19,20,-2252.706649964724
389,BE_Wind_Onshore,2050,1,21,22,-6366.344880335091
390,BE_Wind_Onshore,2050,1,23,24,-2252.706649964724
391,BE_Wind_Onshore,2050,2,1,2,-8582.150432459508
392,BE_Wind_Onshore,2050,2,3,4,-8582.150432459508
393,BE_Wind_Onshore,2050,2,5,6,-8582.150432459508
394,BE_Wind_Onshore,2050,2,7,8,-8582.150432459508
395,BE_Wind_Onshore,2050,2,9,10,-8582.150432459508
396,BE_Wind_Onshore,2050,2,11,12,-7827.135748163883
397,BE_Wind_Onshore,2050,2,13,14,-7827.135748163883
398,BE_Wind_Onshore,2050,2,15,16,-7827.135748163883
399,BE_Wind_Onshore,2050,2,17,18,-8582.150432459508
400,BE_Wind_Onshore,2050,2,19,20,-8582.150432459508
401,BE_Wind_Onshore,2050,2,21,22,-8582.150432459508
402,BE_Wind_Onshore,2050,2,23,24,-8582.150432459508
403,BE_Wind_Onshore,2050,3,1,2,-8.952838470577262e-13
404,BE_Wind_Onshore,2050,3,3,4,-1.3642420526593924e-12
405,BE_Wind_Onshore,2050,3,5,6,-0.0
406,BE_Wind_Onshore,2050,3,7,8,-3105.532427780372
407,BE_Wind_Onshore,2050,3,9,10,-3.1942383340548895e-13
408,BE_Wind_Onshore,2050,3,11,12,-0.0
409,BE_Wind_Onshore,2050,3,13,14,-0.0
410,BE_Wind_Onshore,2050,3,15,16,-0.0
411,BE_Wind_Onshore,2050,3,17,18,-0.0
412,BE_Wind_Onshore,2050,3,19,20,-3105.5324277803734
413,BE_Wind_Onshore,2050,3,21,22,-3105.5324277803734
414,BE_Wind_Onshore,2050,3,23,24,-3105.532427780372
415,BE_electrolyzer,2050,1,1,2,0.0
416,BE_electrolyzer,2050,1,3,4,0.0
417,BE_electrolyzer,2050,1,5,6,0.0
418,BE_electrolyzer,2050,1,7,8,0.0
419,BE_electrolyzer,2050,1,9,10,0.0
420,BE_electrolyzer,2050,1,11,12,0.0
421,BE_electrolyzer,2050,1,13,14,0.0
422,BE_electrolyzer,2050,1,15,16,0.0
423,BE_electrolyzer,2050,1,17,18,0.0
424,BE_electrolyzer,2050,1,19,20,0.0
425,BE_electrolyzer,2050,1,21,22,0.0
426,BE_electrolyzer,2050,1,23,24,0.0
427,BE_electrolyzer,2050,2,1,2,0.0
428,BE_electrolyzer,2050,2,3,4,0.0
429,BE_electrolyzer,2050,2,5,6,0.0
430,BE_electrolyzer,2050,2,7,8,0.0
431,BE_electrolyzer,2050,2,9,10,0.0
432,BE_electrolyzer,2050,2,11,12,0.0
433,BE_electrolyzer,2050,2,13,14,0.0
434,BE_electrolyzer,2050,2,15,16,0.0
435,BE_electrolyzer,2050,2,17,18,0.0
436,BE_electrolyzer,2050,2,19,20,0.0
437,BE_electrolyzer,2050,2,21,22,0.0
438,BE_electrolyzer,2050,2,23,24,0.0
439,BE_electrolyzer,2050,3,1,2,0.0
440,BE_electrolyzer,2050,3,3,4,0.0
441,BE_electrolyzer,2050,3,5,6,0.0
442,BE_electrolyzer,2050,3,7,8,0.0
443,BE_electrolyzer,2050,3,9,10,0.0
444,BE_electrolyzer,2050,3,11,12,0.0
445,BE_electrolyzer,2050,3,13,14,0.0
446,BE_electrolyzer,2050,3,15,16,0.0
447,BE_electrolyzer,2050,3,17,18,0.0
448,BE_electrolyzer,2050,3,19,20,0.0
449,BE_electrolyzer,2050,3,21,22,0.0
450,BE_electrolyzer,2050,3,23,24,0.0
451,BG_Coal,2050,1,1,4,0.0
452,BG_Coal,2050,1,5,8,0.0
453,BG_Coal,2050,1,9,12,0.0
454,BG_Coal,2050,1,13,16,0.0
455,BG_Coal,2050,1,17,20,0.0
456,BG_Coal,2050,1,21,24,0.0
457,BG_Coal,2050,2,1,4,0.0
458,BG_Coal,2050,2,5,8,0.0
459,BG_Coal,2050,2,9,12,0.0
460,BG_Coal,2050,2,13,16,0.0
461,BG_Coal,2050,2,17,20,0.0
462,BG_Coal,2050,2,21,24,0.0
463,BG_Coal,2050,3,1,4,0.0
464,BG_Coal,2050,3,5,8,0.0
465,BG_Coal,2050,3,9,12,0.0
466,BG_Coal,2050,3,13,16,0.0
467,BG_Coal,2050,3,17,20,0.0
468,BG_Coal,2050,3,21,24,0.0
469,BG_E_ENS,2050,1,1,4,0.0
470,BG_E_ENS,2050,1,5,8,0.0
471,BG_E_ENS,2050,1,9,12,0.0
472,BG_E_ENS,2050,1,13,16,0.0
473,BG_E_ENS,2050,1,17,20,0.0
474,BG_E_ENS,2050,1,21,24,0.0
475,BG_E_ENS,2050,2,1,4,0.0
476,BG_E_ENS,2050,2,5,8,0.0
477,BG_E_ENS,2050,2,9,12,0.0
478,BG_E_ENS,2050,2,13,16,0.0
479,BG_E_ENS,2050,2,17,20,0.0
480,BG_E_ENS,2050,2,21,24,0.0
481,BG_E_ENS,2050,3,1,4,0.0
482,BG_E_ENS,2050,3,5,8,0.0
483,BG_E_ENS,2050,3,9,12,0.0
484,BG_E_ENS,2050,3,13,16,0.0
485,BG_E_ENS,2050,3,17,20,0.0
486,BG_E_ENS,2050,3,21,24,0.0
487,BG_Gas,2050,1,1,4,0.0
488,BG_Gas,2050,1,5,8,0.0
489,BG_Gas,2050,1,9,12,0.0
490,BG_Gas,2050,1,13,16,0.0
491,BG_Gas,2050,1,17,20,0.0
492,BG_Gas,2050,1,21,24,0.0
493,BG_Gas,2050,2,1,4,0.0
494,BG_Gas,2050,2,5,8,0.0
495,BG_Gas,2050,2,9,12,0.0
496,BG_Gas,2050,2,13,16,0.0
497,BG_Gas,2050,2,17,20,0.0
498,BG_Gas,2050,2,21,24,0.0
499,BG_Gas,2050,3,1,4,0.0
500,BG_Gas,2050,3,5,8,0.0
501,BG_Gas,2050,3,9,12,0.0
502,BG_Gas,2050,3,13,16,0.0
503,BG_Gas,2050,3,17,20,0.0
504,BG_Gas,2050,3,21,24,0.0
505,BG_Hydro,2050,1,1,4,-9549.517320502639
506,BG_Hydro,2050,1,5,8,-7311.34919850983
507,BG_Hydro,2050,1,9,12,-0.0
508,BG_Hydro,2050,1,13,16,-0.0
509,BG_Hydro,2050,1,17,20,-9549.517320502639
510,BG_Hydro,2050,1,21,24,-9549.517320502639
511,BG_Hydro,2050,2,1,4,-12873.225648689262
512,BG_Hydro,2050,2,5,8,-12873.225648689262
513,BG_Hydro,2050,2,9,12,-6073.521844509804
514,BG_Hydro,2050,2,13,16,-6073.521844509804
515,BG_Hydro,2050,2,17,20,-12873.225648689282
516,BG_Hydro,2050,2,21,24,-12873.225648689284
517,BG_Hydro,2050,3,1,4,-13164.757030808107
518,BG_Hydro,2050,3,5,8,-13164.757030808105
519,BG_Hydro,2050,3,9,12,-6211.064855560747
520,BG_Hydro,2050,3,13,16,-6211.064855560747
521,BG_Hydro,2050,3,17,20,-13164.757030808107
522,BG_Hydro,2050,3,21,24,-13164.757030808105
523,BG_Hydro_Reservoir,2050,1,1,4,0.0
524,BG_Hydro_Reservoir,2050,1,5,8,0.0
525,BG_Hydro_Reservoir,2050,1,9,12,0.0
526,BG_Hydro_Reservoir,2050,1,13,16,0.0
527,BG_Hydro_Reservoir,2050,1,17,20,0.0
528,BG_Hydro_Reservoir,2050,1,21,24,0.0
529,BG_Hydro_Reservoir,2050,2,1,4,0.0
530,BG_Hydro_Reservoir,2050,2,5,8,0.0
531,BG_Hydro_Reservoir,2050,2,9,12,0.0
532,BG_Hydro_Reservoir,2050,2,13,16,0.0
533,BG_Hydro_Reservoir,2050,2,17,20,-9.475087381360936e-12
534,BG_Hydro_Reservoir,2050,2,21,24,0.0
535,BG_Hydro_Reservoir,2050,3,1,4,0.0
536,BG_Hydro_Reservoir,2050,3,5,8,0.0
537,BG_Hydro_Reservoir,2050,3,9,12,0.0
