id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
165,BE_H_Demand,2050,2,15,15,-6601.654178815005
166,BE_H_Demand,2050,2,16,16,6601.654178815005
167,BE_H_Demand,2050,2,17,17,-6601.654178815005
168,BE_H_Demand,2050,2,18,18,6601.654178815005
169,BE_H_Demand,2050,2,19,19,-6601.654178815005
170,BE_H_Demand,2050,2,20,20,6601.654178815005
171,BE_H_Demand,2050,2,21,21,-6601.654178815005
172,BE_H_Demand,2050,2,22,22,6601.654178815005
173,BE_H_Demand,2050,2,23,23,-6601.654178815005
174,BE_H_Demand,2050,2,24,24,6601.654178815005
175,BE_H_Demand,2050,3,1,1,-6751.157451696465
176,BE_H_Demand,2050,3,2,2,6751.157451696465
177,BE_H_Demand,2050,3,3,3,-6751.157451696465
178,BE_H_Demand,2050,3,4,4,6751.157451696465
179,BE_H_Demand,2050,3,5,5,-6751.157451696465
180,BE_H_Demand,2050,3,6,6,6751.157451696465
181,BE_H_Demand,2050,3,7,7,-6751.157451696465
182,BE_H_Demand,2050,3,8,8,6751.157451696465
183,BE_H_Demand,2050,3,9,9,-6751.157451696465
184,BE_H_Demand,2050,3,10,10,6751.157451696465
185,BE_H_Demand,2050,3,11,11,-6751.157451696465
186,BE_H_Demand,2050,3,12,12,6751.157451696465
187,BE_H_Demand,2050,3,13,13,-6751.157451696465
188,BE_H_Demand,2050,3,14,14,6751.157451696465
189,BE_H_Demand,2050,3,15,15,-6751.157451696465
190,BE_H_Demand,2050,3,16,16,6751.157451696465
191,BE_H_Demand,2050,3,17,17,-6751.157451696465
192,BE_H_Demand,2050,3,18,18,6751.157451696465
193,BE_H_Demand,2050,3,19,19,-6751.157451696465
194,BE_H_Demand,2050,3,20,20,6751.157451696465
195,BE_H_Demand,2050,3,21,21,-6751.157451696465
196,BE_H_Demand,2050,3,22,22,6751.157451696465
197,BE_H_Demand,2050,3,23,23,-6751.157451696465
198,BE_H_Demand,2050,3,24,24,6751.157451696465
199,BG_E_Demand,2050,1,1,4,4505.413299929449
200,BG_E_Demand,2050,1,5,8,4505.413299929449
201,BG_E_Demand,2050,1,9,12,-0.0
202,BG_E_Demand,2050,1,13,16,-0.0
203,BG_E_Demand,2050,1,17,20,4505.413299929449
204,BG_E_Demand,2050,1,21,24,4505.413299929449
205,BG_E_Demand,2050,2,1,4,6073.521844509805
206,BG_E_Demand,2050,2,5,8,6073.521844509809
207,BG_E_Demand,2050,2,9,12,-0.0
208,BG_E_Demand,2050,2,13,16,-0.0
209,BG_E_Demand,2050,2,17,20,6073.521844509805
210,BG_E_Demand,2050,2,21,24,6073.521844509805
211,BG_E_Demand,2050,3,1,4,6211.064855560749
212,BG_E_Demand,2050,3,5,8,6211.064855560746
213,BG_E_Demand,2050,3,9,12,-0.0
214,BG_E_Demand,2050,3,13,16,-0.0
215,BG_E_Demand,2050,3,17,20,6211.064855560751
216,BG_E_Demand,2050,3,21,24,6211.064855560747
217,BG_H_Demand,2050,1,1,1,-10186.151808536144
218,BG_H_Demand,2050,1,2,2,4897.188369488531
219,BG_H_Demand,2050,1,3,3,4897.188369488531
220,BG_H_Demand,2050,1,4,4,4897.188369488531
221,BG_H_Demand,2050,1,5,5,-10186.151808536144
222,BG_H_Demand,2050,1,6,6,4897.188369488531
223,BG_H_Demand,2050,1,7,7,4897.188369488531
224,BG_H_Demand,2050,1,8,8,4897.188369488531
225,BG_H_Demand,2050,1,9,9,-14691.565108465593
226,BG_H_Demand,2050,1,10,10,4897.188369488531
227,BG_H_Demand,2050,1,11,11,4897.188369488531
228,BG_H_Demand,2050,1,12,12,4897.188369488531
229,BG_H_Demand,2050,1,13,13,-14691.565108465593
230,BG_H_Demand,2050,1,14,14,4897.188369488531
231,BG_H_Demand,2050,1,15,15,4897.188369488531
232,BG_H_Demand,2050,1,16,16,4897.188369488531
233,BG_H_Demand,2050,1,17,17,-10186.151808536144
234,BG_H_Demand,2050,1,18,18,4897.188369488531
235,BG_H_Demand,2050,1,19,19,4897.188369488531
236,BG_H_Demand,2050,1,20,20,4897.188369488531
237,BG_H_Demand,2050,1,21,21,-10186.151808536144
238,BG_H_Demand,2050,1,22,22,4897.188369488531
239,BG_H_Demand,2050,1,23,23,4897.188369488531
240,BG_H_Demand,2050,1,24,24,4897.188369488531
241,BG_H_Demand,2050,2,1,1,-13731.440691935211
242,BG_H_Demand,2050,2,2,2,6601.654178815005
243,BG_H_Demand,2050,2,3,3,6601.654178815005
244,BG_H_Demand,2050,2,4,4,6601.654178815005
245,BG_H_Demand,2050,2,5,5,-13731.440691935208
246,BG_H_Demand,2050,2,6,6,6601.654178815005
247,BG_H_Demand,2050,2,7,7,6601.654178815005
248,BG_H_Demand,2050,2,8,8,6601.654178815005
249,BG_H_Demand,2050,2,9,9,-19804.962536445015
250,BG_H_Demand,2050,2,10,10,6601.654178815005
251,BG_H_Demand,2050,2,11,11,6601.654178815005
252,BG_H_Demand,2050,2,12,12,6601.654178815005
253,BG_H_Demand,2050,2,13,13,-19804.962536445015
254,BG_H_Demand,2050,2,14,14,6601.654178815005
255,BG_H_Demand,2050,2,15,15,6601.654178815005
256,BG_H_Demand,2050,2,16,16,6601.654178815005
257,BG_H_Demand,2050,2,17,17,-13731.440691935211
258,BG_H_Demand,2050,2,18,18,6601.654178815005
259,BG_H_Demand,2050,2,19,19,6601.654178815005
260,BG_H_Demand,2050,2,20,20,6601.654178815005
261,BG_H_Demand,2050,2,21,21,-13731.440691935211
262,BG_H_Demand,2050,2,22,22,6601.654178815005
263,BG_H_Demand,2050,2,23,23,6601.654178815005
