id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
168,AT_electrolyzer,2050,1,21,24,0.0
169,AT_electrolyzer,2050,2,1,4,0.0
170,AT_electrolyzer,2050,2,5,8,0.0
171,AT_electrolyzer,2050,2,9,12,0.0
172,AT_electrolyzer,2050,2,13,16,0.0
173,AT_electrolyzer,2050,2,17,20,0.0
174,AT_electrolyzer,2050,2,21,24,0.0
175,AT_electrolyzer,2050,3,1,4,0.0
176,AT_electrolyzer,2050,3,5,8,0.0
177,AT_electrolyzer,2050,3,9,12,0.0
178,AT_electrolyzer,2050,3,13,16,0.0
179,AT_electrolyzer,2050,3,17,20,0.0
180,AT_electrolyzer,2050,3,21,24,0.0
181,BE_Battery,2050,1,1,1,0.0
182,BE_Battery,2050,1,2,2,0.0
183,BE_Battery,2050,1,3,3,0.0
184,BE_Battery,2050,1,4,4,0.0
185,BE_Battery,2050,1,5,5,0.0
186,BE_Battery,2050,1,6,6,0.0
187,BE_Battery,2050,1,7,7,0.0
188,BE_Battery,2050,1,8,8,0.0
189,BE_Battery,2050,1,9,9,0.0
190,BE_Battery,2050,1,10,10,0.0
191,BE_Battery,2050,1,11,11,0.0
192,BE_Battery,2050,1,12,12,0.0
193,BE_Battery,2050,1,13,13,0.0
194,BE_Battery,2050,1,14,14,0.0
195,BE_Battery,2050,1,15,15,0.0
196,BE_Battery,2050,1,16,16,0.0
197,BE_Battery,2050,1,17,17,0.0
198,BE_Battery,2050,1,18,18,0.0
199,BE_Battery,2050,1,19,19,0.0
200,BE_Battery,2050,1,20,20,0.0
201,BE_Battery,2050,1,21,21,0.0
202,BE_Battery,2050,1,22,22,0.0
203,BE_Battery,2050,1,23,23,0.0
204,BE_Battery,2050,1,24,24,0.0
205,BE_Battery,2050,2,1,1,0.0
206,BE_Battery,2050,2,2,2,0.0
207,BE_Battery,2050,2,3,3,0.0
208,BE_Battery,2050,2,4,4,0.0
209,BE_Battery,2050,2,5,5,0.0
210,BE_Battery,2050,2,6,6,0.0
211,BE_Battery,2050,2,7,7,0.0
212,BE_Battery,2050,2,8,8,0.0
213,BE_Battery,2050,2,9,9,0.0
214,BE_Battery,2050,2,10,10,0.0
215,BE_Battery,2050,2,11,11,0.0
216,BE_Battery,2050,2,12,12,0.0
217,BE_Battery,2050,2,13,13,0.0
218,BE_Battery,2050,2,14,14,0.0
219,BE_Battery,2050,2,15,15,0.0
220,BE_Battery,2050,2,16,16,0.0
221,BE_Battery,2050,2,17,17,0.0
222,BE_Battery,2050,2,18,18,0.0
223,BE_Battery,2050,2,19,19,-0.0
224,BE_Battery,2050,2,20,20,0.0
225,BE_Battery,2050,2,21,21,0.0
226,BE_Battery,2050,2,22,22,0.0
227,BE_Battery,2050,2,23,23,0.0
228,BE_Battery,2050,2,24,24,0.0
229,BE_Battery,2050,3,1,1,0.0
230,BE_Battery,2050,3,2,2,0.0
231,BE_Battery,2050,3,3,3,0.0
232,BE_Battery,2050,3,4,4,0.0
233,BE_Battery,2050,3,5,5,0.0
234,BE_Battery,2050,3,6,6,0.0
235,BE_Battery,2050,3,7,7,0.0
236,BE_Battery,2050,3,8,8,0.0
237,BE_Battery,2050,3,9,9,0.0
238,BE_Battery,2050,3,10,10,0.0
239,BE_Battery,2050,3,11,11,0.0
240,BE_Battery,2050,3,12,12,0.0
241,BE_Battery,2050,3,13,13,0.0
242,BE_Battery,2050,3,14,14,0.0
243,BE_Battery,2050,3,15,15,0.0
244,BE_Battery,2050,3,16,16,0.0
245,BE_Battery,2050,3,17,17,0.0
246,BE_Battery,2050,3,18,18,0.0
247,BE_Battery,2050,3,19,19,0.0
248,BE_Battery,2050,3,20,20,0.0
249,BE_Battery,2050,3,21,21,0.0
250,BE_Battery,2050,3,22,22,0.0
251,BE_Battery,2050,3,23,23,0.0
252,BE_Battery,2050,3,24,24,0.0
253,BE_E_ENS,2050,1,1,2,0.0
254,BE_E_ENS,2050,1,3,4,0.0
255,BE_E_ENS,2050,1,5,6,0.0
256,BE_E_ENS,2050,1,7,8,0.0
257,BE_E_ENS,2050,1,9,10,0.0
258,BE_E_ENS,2050,1,11,12,0.0
259,BE_E_ENS,2050,1,13,14,0.0
260,BE_E_ENS,2050,1,15,16,0.0
261,BE_E_ENS,2050,1,17,18,0.0
262,BE_E_ENS,2050,1,19,20,0.0
263,BE_E_ENS,2050,1,21,22,0.0
264,BE_E_ENS,2050,1,23,24,0.0
265,BE_E_ENS,2050,2,1,2,0.0
266,BE_E_ENS,2050,2,3,4,0.0
267,BE_E_ENS,2050,2,5,6,0.0
268,BE_E_ENS,2050,2,7,8,0.0
269,BE_E_ENS,2050,2,9,10,0.0
